Status,Dossier_ID,DocumentID,DocType,DocCategory,LimitationType,Issue,rdafType,startDate,UniversalKey,LimitationLife
CLSD,81282552,81282552/075,TD,,,,,2026-03-25,81282552,
CLSD,81234906,81234906/062,TD,,,,,2026-03-31,81234906,
CLSD,81596782,81596782/025,TD,,,,,2026-02-19,81596782,
CLSD,81705577,81705577/055,RD,,,,,2026-04-01,81705577,
CLSD,81771585,81771585/028,RD,,,,,2026-04-08,81771585,
CLSD,81637792,81637792/007,RD,,,,,2025-08-08,81637792,
CLSD,70502030,70502030/869,TD,,,,,2026-01-12,70502030,
CLSD,81780613,81780613/007,RD,,,,,2026-04-21,81780613,
CLSD,81748145,81748145/015,TD,,,,,2026-02-27,81748145,
CLSD,81340107,81340107/064,TD,,,,,2024-04-16,81340107,
CLSD,81253636,81253636/049,RD,,,,,2023-08-23,81253636,
CLSD,81776213,81776213/010,RD,,,,,2026-04-22,81776213,
CLSD,81317019,81317019/064,TD,,,,,2024-01-26,81317019,
CLSD,81685279,81685279/078,TD,,,,,2026-01-24,81685279,
CLSD,80189668,80189668/045,RD,,,,,2020-06-17,80189668,
CLSD,81746291,81746291/007,TD,,,,,2026-02-19,81746291,
CLSD,81122233,81122233/115,TD,,,,,2026-01-15,81122233,
CLSD,70532284,70532284/128,TD,,,,,2020-03-17,70532284,
CLSD,81011514,81011514/079,RD-TD,,,,,2022-05-06,81011514,
CLSD,81771608,81771608/017,TD,,,,,2026-04-03,81771608,
CLSD,81785683,81785683/013,TD,,,,,2026-04-30,81785683,
CLSD,81749970,81749970/034,RD-TD,,,,,2026-03-18,81749970,
CLSD,81721096,81721096/018,TD,,,,,2026-01-14,81721096,
CLSD,81390370,81390370/130,TD,,,,,2024-06-17,81390370,
CLSD,80383158,80383158/010,TD,,,,,2017-11-16,80383158,
CLSD,81489578,81489578/023,TD,,,,,2024-11-15,81489578,
CLSD,81782262,81782262/033,TD,,,,,2026-05-01,81782262,
CLSD,81628740,81628740/159,TD,,,,,2025-08-28,81628740,
CLSD,81430363,81430363/033,RD,,,,,2025-12-09,81430363,
CLSD,70532068,70532068/113,RD,,,,,2021-02-02,70532068,
CLSD,70532284,70532284/156,TD,,,,,2020-03-29,70532284,
CLSD,81065467,81065467/038,TD,,,,,2022-06-27,81065467,
CLSD,81226348,81226348/029,RD,,,,,2023-06-13,81226348,
CLSD,81632946,81632946/033,TD,,,,,2025-09-18,81632946,
CLSD,81717113,81717113/030,RD,,,,,2026-01-14,81717113,
CLSD,80320020,80320020/011,TD,,,,,2017-06-16,80320020,
CLSD,80954277,80954277/020,TD,,,,,2021-08-24,80954277,
CLSD,81702291,81702291/041,TD,,,,,2025-12-17,81702291,
CLSD,81305488,81305488/026,RD,,,,,2026-02-25,81305488,
CLSD,80551935,80551935/070,TD,,,,,2026-05-04,80551935,
CLSD,81690011,81690011/089,RD,,,,,2025-12-04,81690011,
CLSD,80665307,80665307/083,TD,,,,,2022-04-29,80665307,
CLSD,81399701,81399701/560,TD,,,,,2026-04-22,81399701,
CLSD,80788214,80788214/056,TD,,,,,2023-06-28,80788214,
CLSD,81390370,81390370/120,TD,,,,,2024-06-13,81390370,
CLSD,81691242,81691242/025,TD,,,,,2025-11-19,81691242,
CLSD,80954277,80954277/071,TD,,,,,2021-10-05,80954277,
CLSD,81668738,81668738/013,RD,,,,,2025-10-04,81668738,
CLSD,81739863,81739863/007,RD,,,,,2026-02-11,81739863,
CLSD,81768785,81768785/012,RD,,,,,2026-03-27,81768785,
CLSD,81708036,81708036/007,RD,,,,,2025-12-17,81708036,
CLSD,81260791,81260791/062,TD,,,,,2023-09-29,81260791,
CLSD,81783663,81783663/029,TD,,,,,2026-05-06,81783663,
CLSD,80603624,80603624/023,TD,,,,,2019-05-22,80603624,
CLSD,80600732,80600732/044,TD,,,,,2019-04-02,80600732,
CLSD,81658906,81658906/057,RD-TD,,,,,2025-11-07,81658906,
CLSD,81683973,81683973/164,TD,,,,,2026-04-20,81683973,
CLSD,81771333,81771333/017,TD,,,,,2026-04-03,81771333,
CLSD,81635172,81635172/070,TD,,,,,2025-09-26,81635172,
CLSD,81767505,81767505/013,TD,,,,,2026-04-08,81767505,
CLSD,81330441,81330441/207,RD,,,,,2026-02-17,81330441,
CLSD,81667852,81667852/007,RD,,,,,2025-10-03,81667852,
CLSD,81784698,81784698/007,RD,,,,,2026-04-24,81784698,
CLSD,80397059,80397059/005,RD,,,,,2017-12-18,80397059,
CLSD,81748223,81748223/009,RD,,,,,2026-02-25,81748223,
CLSD,81642313,81642313/192,TD,,,,,2025-11-04,81642313,
CLSD,80820350,80820350/024,TD,,,,,2020-08-31,80820350,
CLSD,80952336,80952336/023,TD,,,,,2021-09-09,80952336,
CLSD,81694049,81694049/023,TD,,,,,2025-12-03,81694049,
CLSD,81658330,81658330/024,TD,,,,,2026-04-03,81658330,
CLSD,81777550,81777550/023,RD,,,,,2026-04-16,81777550,
CLSD,70531160,70531160/390,RD-TD,,,,,2022-03-09,70531160,
CLSD,81769884,81769884/008,RD,,,,,2026-03-29,81769884,
CLSD,81770347,81770347/020,RD,,,,,2026-04-14,81770347,
