DossierID,RDAF,Instructions
81320581,RDAF Delivered,Instruction Not Delivered
70584580,RDAF Delivered,Instruction Not Delivered
81378181,RDAF Delivered,Instruction Not Delivered
81404642,RDAF Delivered,Instruction Not Delivered
81383449,RDAF Delivered,Instruction Not Delivered
81308145,RDAF Delivered,Instruction Delivered
81398779,RDAF Delivered,Instruction Not Delivered
81395663,RDAF Delivered,Instruction Delivered
81313523,RDAF Delivered,Instruction Not Delivered
81170548,RDAF Delivered,Instruction Not Delivered
81356317,RDAF Delivered,Instruction Delivered
81411406,RDAF Delivered,Instruction Not Delivered
81395721,RDAF Delivered,Instruction Not Delivered
81403435,RDAF Delivered,Instruction Not Delivered
81411320,RDAF Delivered,Instruction Not Delivered
81337856,RDAF Delivered,Instruction Delivered
81158530,RDAF Delivered,Instruction Delivered
81413382,RDAF Delivered,Instruction Delivered
81380270,RDAF Delivered,Instruction Not Delivered
80897366,RDAF Delivered,Instruction Delivered
81209272,RDAF Delivered,Instruction Not Delivered
81345094,RDAF Delivered,Instruction Delivered
81385329,RDAF Delivered,Instruction Delivered
81366578,RDAF Delivered,Instruction Not Delivered
80592958,RDAF Delivered,Instruction Delivered
81358963,RDAF Delivered,Instruction Delivered
81315587,RDAF Delivered,Instruction Delivered
81334334,RDAF Delivered,Instruction Delivered
81152266,RDAF Delivered,Instruction Not Delivered
81416254,RDAF Delivered,Instruction Not Delivered
81388742,RDAF Delivered,Instruction Delivered
80593050,RDAF Delivered,Instruction Delivered
81399347,RDAF Delivered,Instruction Not Delivered
80052745,RDAF Delivered,Instruction Not Delivered
81413784,RDAF Delivered,Instruction Delivered
81380720,RDAF Delivered,Instruction Not Delivered
81400228,RDAF Delivered,Instruction Delivered
81380130,RDAF Delivered,Instruction Not Delivered
81410601,RDAF Not Delivered,Instruction Not Delivered
70501008,RDAF Delivered,Instruction Not Delivered
81399650,RDAF Delivered,Instruction Not Delivered
81404081,RDAF Delivered,Instruction Delivered
81321121,RDAF Delivered,Instruction Not Delivered
81400124,RDAF Delivered,Instruction Not Delivered
80798456,RDAF Not Delivered,Instruction Not Delivered
81170449,RDAF Delivered,Instruction Not Delivered
81346335,RDAF Delivered,Instruction Delivered
81356298,RDAF Delivered,Instruction Delivered
81377085,RDAF Delivered,Instruction Delivered
80268484,RDAF Delivered,Instruction Not Delivered
81312782,RDAF Delivered,Instruction Delivered
81398360,RDAF Delivered,Instruction Not Delivered
81377366,RDAF Delivered,Instruction Not Delivered
80272333,RDAF Delivered,Instruction Delivered
81405573,RDAF Delivered,Instruction Not Delivered
81322264,RDAF Delivered,Instruction Delivered
81386338,RDAF Delivered,Instruction Not Delivered
81309363,RDAF Delivered,Instruction Delivered
81411710,RDAF Not Delivered,Instruction Not Delivered
81327479,RDAF Delivered,Instruction Not Delivered
81096821,RDAF Delivered,Instruction Not Delivered
81348141,RDAF Delivered,Instruction Not Delivered
81364270,RDAF Delivered,Instruction Not Delivered
81328462,RDAF Delivered,Instruction Delivered
81368424,RDAF Delivered,Instruction Not Delivered
81413153,RDAF Delivered,Instruction Not Delivered
81221849,RDAF Delivered,Instruction Delivered
80979345,RDAF Delivered,Instruction Not Delivered
81398875,RDAF Delivered,Instruction Not Delivered
81403363,RDAF Delivered,Instruction Not Delivered
80798455,RDAF Not Delivered,Instruction Not Delivered
81101403,RDAF Delivered,Instruction Delivered
81383759,RDAF Delivered,Instruction Not Delivered
81150719,RDAF Delivered,Instruction Delivered
81406307,RDAF Delivered,Instruction Not Delivered
81406038,RDAF Not Delivered,Instruction Not Delivered
81328828,RDAF Delivered,Instruction Not Delivered
81293213,RDAF Delivered,Instruction Delivered
81018039,RDAF Delivered,Instruction Delivered
81326725,RDAF Delivered,Instruction Not Delivered
81360285,RDAF Delivered,Instruction Not Delivered
81354680,RDAF Delivered,Instruction Delivered
80551496,RDAF Delivered,Instruction Delivered
81354553,RDAF Delivered,Instruction Not Delivered
80389971,RDAF Delivered,Instruction Delivered
80003253,RDAF Delivered,Instruction Delivered
81407315,RDAF Delivered,Instruction Delivered
81416481,RDAF Delivered,Instruction Not Delivered
81379623,RDAF Delivered,Instruction Not Delivered
81410873,RDAF Delivered,Instruction Not Delivered
81067770,RDAF Delivered,Instruction Delivered
81337284,RDAF Delivered,Instruction Not Delivered
80515481,RDAF Delivered,Instruction Not Delivered
81191952,RDAF Delivered,Instruction Delivered
70245862,RDAF Delivered,Instruction Not Delivered
81316748,RDAF Delivered,Instruction Delivered
81372501,RDAF Delivered,Instruction Not Delivered
81407722,RDAF Delivered,Instruction Not Delivered
81102398,RDAF Delivered,Instruction Not Delivered
81414312,RDAF Not Delivered,Instruction Not Delivered
81398383,RDAF Delivered,Instruction Not Delivered
81404102,RDAF Delivered,Instruction Not Delivered
80012882,RDAF Not Delivered,Instruction Not Delivered
81408661,RDAF Not Delivered,Instruction Not Delivered
81371990,RDAF Delivered,Instruction Not Delivered
81014990,RDAF Delivered,Instruction Delivered
81402162,RDAF Delivered,Instruction Not Delivered
81317469,RDAF Delivered,Instruction Not Delivered
70563142,RDAF Delivered,Instruction Delivered
81218133,RDAF Delivered,Instruction Not Delivered
81396799,RDAF Delivered,Instruction Delivered
81386436,RDAF Delivered,Instruction Delivered
81209026,RDAF Delivered,Instruction Delivered
80861207,RDAF Delivered,Instruction Not Delivered
81310523,RDAF Delivered,Instruction Not Delivered
81314206,RDAF Delivered,Instruction Delivered
81358296,RDAF Delivered,Instruction Not Delivered
81406003,RDAF Delivered,Instruction Delivered
80806063,RDAF Delivered,Instruction Not Delivered
81317036,RDAF Delivered,Instruction Not Delivered
81408762,RDAF Delivered,Instruction Not Delivered
81289388,RDAF Delivered,Instruction Not Delivered
81364653,RDAF Delivered,Instruction Delivered
81396272,RDAF Delivered,Instruction Not Delivered
81221845,RDAF Delivered,Instruction Delivered
81370021,RDAF Delivered,Instruction Delivered
81389674,RDAF Delivered,Instruction Not Delivered
80939662,RDAF Delivered,Instruction Not Delivered
81393270,RDAF Not Delivered,Instruction Not Delivered
81402585,RDAF Delivered,Instruction Delivered
81413279,RDAF Delivered,Instruction Not Delivered
81372423,RDAF Delivered,Instruction Not Delivered
81328246,RDAF Delivered,Instruction Not Delivered
81170106,RDAF Delivered,Instruction Delivered
81356812,RDAF Delivered,Instruction Delivered
81168910,RDAF Delivered,Instruction Delivered
81405531,RDAF Delivered,Instruction Delivered
81140788,RDAF Delivered,Instruction Not Delivered
81413531,RDAF Delivered,Instruction Not Delivered
81228559,RDAF Delivered,Instruction Delivered
81382952,RDAF Delivered,Instruction Not Delivered
81354512,RDAF Delivered,Instruction Delivered
81415718,RDAF Delivered,Instruction Not Delivered
81392733,RDAF Delivered,Instruction Not Delivered
81207338,RDAF Delivered,Instruction Delivered
81389435,RDAF Delivered,Instruction Not Delivered
81411018,RDAF Delivered,Instruction Delivered
81412221,RDAF Delivered,Instruction Delivered
81402564,RDAF Delivered,Instruction Not Delivered
81398075,RDAF Delivered,Instruction Delivered
81347573,RDAF Delivered,Instruction Delivered
81405632,RDAF Delivered,Instruction Delivered
81415733,RDAF Delivered,Instruction Not Delivered
81392361,RDAF Delivered,Instruction Not Delivered
81158954,RDAF Delivered,Instruction Delivered
81121834,RDAF Delivered,Instruction Delivered
81367073,RDAF Delivered,Instruction Not Delivered
81396574,RDAF Not Delivered,Instruction Not Delivered
81379669,RDAF Delivered,Instruction Not Delivered
81305318,RDAF Delivered,Instruction Delivered
81159820,RDAF Delivered,Instruction Not Delivered
81351141,RDAF Delivered,Instruction Delivered
81412555,RDAF Delivered,Instruction Not Delivered
81407394,RDAF Delivered,Instruction Not Delivered
81327628,RDAF Delivered,Instruction Delivered
80581821,RDAF Delivered,Instruction Delivered
81394611,RDAF Delivered,Instruction Delivered
81399427,RDAF Delivered,Instruction Not Delivered
81341357,RDAF Delivered,Instruction Delivered
81385861,RDAF Delivered,Instruction Not Delivered
81316690,RDAF Delivered,Instruction Not Delivered
81378433,RDAF Delivered,Instruction Delivered
81406949,RDAF Delivered,Instruction Not Delivered
81409276,RDAF Delivered,Instruction Not Delivered
81209004,RDAF Delivered,Instruction Delivered
81297142,RDAF Delivered,Instruction Not Delivered
81170437,RDAF Delivered,Instruction Delivered
