ICAO,OPENCount,ClosedCount,AmbersAlloted,AmberCount,RedCount,RedCapMet,AmberCapMet
TAM,0,0,0,0,0,false,false
PIA,0,0,0,0,0,false,false
MAU,0,0,0,0,0,false,false
AFR,0,0,0,0,0,false,false
HFM,0,0,0,0,0,false,false
BGA,0,0,0,0,0,false,false
FAL,0,0,0,0,0,false,false
J7F,0,0,0,0,0,false,false
TAI,0,0,0,0,0,false,false
AAR,0,0,0,0,0,false,false
MAC,0,0,0,0,0,false,false
OBS,0,0,0,0,0,false,false
QQE,0,0,0,0,0,false,false
TSC,0,0,0,0,0,false,false
83V,0,0,0,0,0,false,false
ABL,0,0,0,0,0,false,false
JJP,0,0,0,0,0,false,false
CCA,0,0,0,0,0,false,false
VRE,0,0,0,0,0,false,false
ASA,0,0,0,0,0,false,false
87U,0,0,0,0,0,false,false
SVW,0,0,0,0,0,false,false
EOK,0,0,0,0,0,false,false
000,0,0,0,0,0,false,false
CRL,0,0,0,0,0,false,false
ABR,0,0,0,0,0,false,false
AAY,0,0,0,0,0,false,false
ANZ,0,0,0,0,0,false,false
R1T,0,0,0,0,0,false,false
ABQ,0,0,0,0,0,false,false
T9P,0,0,0,0,0,false,false
MLM,0,0,0,0,0,false,false
CSC,0,0,0,0,0,false,false
VNA,0,0,0,0,0,false,false
PUE,0,0,0,0,0,false,false
AHY,0,0,0,0,0,false,false
RBA,0,0,0,0,0,false,false
SWR,0,0,0,0,0,false,false
ZZZ,0,0,0,0,0,false,false
51N,0,0,0,0,0,false,false
01Q,0,0,0,0,0,false,false
SFJ,0,0,0,0,0,false,false
IBE,0,0,0,0,0,false,false
VIR,0,0,0,0,0,false,false
XAX,0,0,0,0,0,false,false
MNB,0,0,0,0,0,false,false
PGT,0,0,0,0,0,false,false
KZR,0,0,0,0,0,false,false
ASV,0,0,0,0,0,false,false
EDW,0,0,0,0,0,false,false
LNI,0,0,0,0,0,false,false
MSC,0,0,0,0,0,false,false
EIN,0,0,0,0,0,false,false
CEB,0,0,0,0,0,false,false
CSZ,0,0,0,0,0,false,false
SAS,0,0,0,0,0,false,false
SVR,0,0,0,0,0,false,false
IPM,0,0,0,0,0,false,false
EXS,0,0,0,0,0,false,false
95V,0,0,0,0,0,false,false
HXA,0,0,0,0,0,false,false
APJ,0,0,0,0,0,false,false
CQH,0,0,0,0,0,false,false
TOW,0,0,0,0,0,false,false
52J,0,0,0,0,0,false,false
IBS,0,0,0,0,0,false,false
DRK,0,0,0,0,0,false,false
JAV,0,0,0,0,0,false,false
VOI,0,0,0,0,0,false,false
CRK,0,0,0,0,0,false,false
GLG,0,0,0,0,0,false,false
NA,0,0,0,0,0,false,false
NKS,0,0,0,0,0,false,false
TIW,0,0,0,0,0,false,false
T7R,0,0,0,0,0,false,false
AIJ,0,0,0,0,0,false,false
QFA,0,0,0,0,0,false,false
FDX,0,0,0,0,0,false,false
KNE,0,0,0,0,0,false,false
EVA,0,0,0,0,0,false,false
BEC,0,0,0,0,0,false,false
EFA,0,0,0,0,0,false,false
EXV,0,0,0,0,0,false,false
OTC,0,0,0,0,0,false,false
SMF,0,0,0,0,0,false,false
NWS,0,0,0,0,0,false,false
AEE,0,0,0,0,0,false,false
BCS,0,0,0,0,0,false,false
SEK,0,0,0,0,0,false,false
DGA,0,0,0,0,0,false,false
AUA,0,0,0,0,0,false,false
15T,0,0,0,0,0,false,false
FAD,0,0,0,0,0,false,false
EVE,0,0,0,0,0,false,false
TBA,0,0,0,0,0,false,false
CFC,0,0,0,0,0,false,false
CLH,0,0,0,0,0,false,false
ABY,0,0,0,0,0,false,false
MAA,0,0,0,0,0,false,false
JSA,0,0,0,0,0,false,false
LYX,0,0,0,0,0,false,false
ATI,0,0,0,0,0,false,false
SEVERAL,0,0,0,0,0,false,false
IGO,0,0,0,0,0,false,false
D2F,0,0,0,0,0,false,false
ROT,0,0,0,0,0,false,false
BKP,0,0,0,0,0,false,false
69X,0,0,0,0,0,false,false
JST,0,0,0,0,0,false,false
SIF,0,0,0,0,0,false,false
CCM,0,0,0,0,0,false,false
36V,0,0,0,0,0,false,false
OEW,0,0,0,0,0,false,false
UAL,0,0,0,0,0,false,false
BEL,0,0,0,0,0,false,false
CYF,0,0,0,0,0,false,false
OHY,0,0,0,0,0,false,false
AIC,0,0,0,0,0,false,false
UEA,0,0,0,0,0,false,false
ACA,0,0,0,0,0,false,false
QAF,0,0,0,0,0,false,false
KZU,0,0,0,0,0,false,false
AMC,0,0,0,0,0,false,false
82W,0,0,0,0,0,false,false
THA,0,0,0,0,0,false,false
LHT,0,0,0,0,0,false,false
LDA,0,0,0,0,0,false,false
DJT,0,0,0,0,0,false,false
TNO,0,0,0,0,0,false,false
KAY,0,0,0,0,0,false,false
SKU,0,0,0,0,0,false,false
AFL,0,0,0,0,0,false,false
LAA,0,0,0,0,0,false,false
AZU,0,0,0,0,0,false,false
AMU,0,0,0,0,0,false,false
SHJ,0,0,0,0,0,false,false
EWG,0,0,0,0,0,false,false
ABB,0,0,0,0,0,false,false
NWC,0,0,0,0,0,false,false
UAF,0,0,0,0,0,false,false
JZR,0,0,0,0,0,false,false
ISR,0,0,0,0,0,false,false
WRC,0,0,0,0,0,false,false
JAT,0,0,0,0,0,false,false
CGH,0,0,0,0,0,false,false
72W,0,0,0,0,0,false,false
DIVERSE,0,0,0,0,0,false,false
17R,0,0,0,0,0,false,false
