ICAO,OPENCount,ClosedCount,AmbersAlloted,AmberCount,RedCount,RedCapMet,AmberCapMet
MAS05,0,0,0,0,0,false,false
ESW,0,0,0,0,0,false,false
D7Y,0,0,0,0,0,false,false
46H,0,0,0,0,0,false,false
CS8,0,0,0,0,0,false,false
HA,0,0,0,0,0,false,false
M6X,0,0,0,0,0,false,false
KGC,0,0,0,0,0,false,false
DML,0,0,0,0,0,false,false
99Y*A,0,0,0,0,0,false,false
M1ER,0,0,0,0,0,false,false
AAG,0,0,0,0,0,false,false
CUA,0,0,0,0,0,false,false
"SIA,AAR",0,0,0,0,0,false,false
LHB,0,0,0,0,0,false,false
NIL,0,0,0,0,0,false,false
PGS,0,0,0,0,0,false,false
121187,0,0,0,0,0,false,false
UAE01,0,0,0,0,0,false,false
83L,0,0,0,0,0,false,false
C8B,0,0,0,0,0,false,false
CEX,0,0,0,0,0,false,false
44W,0,0,0,0,0,false,false
F7X,0,0,0,0,0,false,false
P5F,0,0,0,0,0,false,false
AIX,0,0,0,0,0,false,false
N / A,0,0,0,0,0,false,false
BELUGA,0,0,0,0,0,false,false
SRT,0,0,0,0,0,false,false
XIA,0,0,0,0,0,false,false
M7K,0,0,0,0,0,false,false
AL0,0,0,0,0,0,false,false
D7O,0,0,0,0,0,false,false
EDDW,0,0,0,0,0,false,false
H6D,0,0,0,0,0,false,false
FX1-1,0,0,0,0,0,false,false
85G,0,0,0,0,0,false,false
AA7T,0,0,0,0,0,false,false
V2,0,0,0,0,0,false,false
A333,0,0,0,0,0,false,false
98H,0,0,0,0,0,false,false
I7N,0,0,0,0,0,false,false
SMBC,0,0,0,0,0,false,false
KGS,0,0,0,0,0,false,false
SKW,0,0,0,0,0,false,false
OLY,0,0,0,0,0,false,false
AJW,0,0,0,0,0,false,false
ETH03,0,0,0,0,0,false,false
SKP,0,0,0,0,0,false,false
36L,0,0,0,0,0,false,false
WMT,0,0,0,0,0,false,false
80X,0,0,0,0,0,false,false
LSY,0,0,0,0,0,false,false
HMZ,0,0,0,0,0,false,false
NullVal,0,0,0,0,0,false,false
BMA,0,0,0,0,0,false,false
TRK,0,0,0,0,0,false,false
LTU,0,0,0,0,0,false,false
AWE,0,0,0,0,0,false,false
EEZ,0,0,0,0,0,false,false
MYT,0,0,0,0,0,false,false
CBF,0,0,0,0,0,false,false
IDE,0,0,0,0,0,false,false
JAS,0,0,0,0,0,false,false
AEF,0,0,0,0,0,false,false
CXN,0,0,0,0,0,false,false
NWA,0,0,0,0,0,false,false
CNW,0,0,0,0,0,false,false
G2P,0,0,0,0,0,false,false
52Z,0,0,0,0,0,false,false
46P,0,0,0,0,0,false,false
CXA,0,0,0,0,0,false,false
SLM,0,0,0,0,0,false,false
NDA,0,0,0,0,0,false,false
ACY,0,0,0,0,0,false,false
8JA,0,0,0,0,0,false,false
96U,0,0,0,0,0,false,false
